Initials_double_checker,Initials_data_extraction,FW_ID,Study_ID,,Ecosystem,Ecosystem_comment,,,Latitude,Longitude,Coordinates_comment,Latitude_DD,Longitude_DD,Species_composition,n_species,Species_highest_TL,Species_cn_highest_TL,Taxa_highest_TL,TL_calculation_method,TL_calculation_method_comment,TL_values,TL_values_comment,FoodWeb_comment
,LR,FW_054,S_027,,marine,"Bohai Sea, China",,,38.8495° N,119.7889° E,Latitude and longitude extracted from Google Maps.,38.8495°,119.7889°,fish and other species,21,Hexagrammos otakii ,Greenling,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2.9, 3.1, 3.0, 3.2, 3.1, 3.4, 3, 3.4, 2.9, 3, 3.2, 3, 3, 3.1, 2.9, 2.8, 2.7, 3, 2.7, 2.7, 2.7, 2.3, 2.4, 2.2, 2.6, 3.1, 3.6, 3.1, 2.5, 2.9, 2.8, 2.9, 2.7, 2.7, 2.6, 2.2, 1.5, 2.2, 1.6, 3, 2.7, 2.9, 3, 1.3, 1.7, 2.1, 2, 2.1, 2.1, 2.3, 2.5, 2.5, 2.4, 1.9, 1.9, 1.8, 1.8, 2.3, 2.1, 2.3, 2.4, 1.9, 1.9, 1.7, 1.7, 2.3, 2.2, 2.3, 2.2, 2.3, 1.9, 1.8, 2.1, 2, 2, 1.8, 1.8, 2.3, 2.1, 1.9, 2.8, 2.5, 1.3, 1.5, 1.5, 1.5, 2.7, 1.9, 1.4, 2.5, 2, 1.9, 1.7, 2.4, 2, 1.9, 2.1, 2.1, 1.9, 2.1, 1.5, 1.1, 1.2, 1.4, 1.8, 1.5",Data extracted from Table S1.,all samples.
,LR,FW_055,S_028,,terrestrial,"Nam Co Lake Basin, Tibetan Plateau",,,30°46′ N,90°59′ E,"Latitude and longitude extracted from Li, H.; Bu, D.; Fu, J.; Gao, Y.; Cong, Z.; Zhang, G.; Wang, Y.; Chen, X.; Zhang, A.; Jiang, G. Trophic Dilution of Short-Chain Chlorinated Paraffins in a Plant-Plateau Pika-Eagle Food Chain from the Tibetan Plateau. Environ. Sci. Technol. 2019, 53 (16), 9472−9480.",30.7667°,90.9833°,no fish,3,Buteo hemilasius,Ppland buzzard,Bird,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"1.00±0.18, 2.07±0.12, 2.84± 0.13",Data extracted from Table S7.,NA
,LR,FW_056,S_029,,terrestrial,"Porcupine, Canada",,,69°00' N,139°22' W,Latitude and longitude extracted from Google Maps.,69.0000°,-139.3667°,no fish,6,Canis lupus,Wolf,Mammal,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.53±0.07, 2.90±0.12, 1±0.08",TLs not provided. We extracted TL values from Figure S5 and Figure S6 using the metaDigitiser R package.,"Lichen, caribou, wolf"
,LR,FW_057,S_029,,terrestrial,"Porcupine, Canada",,,69°00' N,139°22' W,Latitude and longitude extracted from Google Maps.,69.0000°,-139.3667°,no fish,7,Canis lupus,Wolf,Mammal,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.53±0.07, 2.90±0.12, 2.55±0.34, 1.49±0.31",TLs not provided. We extracted TL values from Figure S5 and Figure S6 using the metaDigitiser R package.,"Vegetation, caribou, wolf"
,LR,FW_058,S_029,,terrestrial,"Bathurst, Canada",,,65°45' N,110°18' W,Latitude and longitude extracted from Google Maps.,65.7500°,-110.3000°,no fish,6,Canis lupus,Wolf,Mammal,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.9±0.05, 3.05±0.2, 1.03±0.27",TLs not provided. We extracted TL values from Figure S5 and Figure S6 using the metaDigitiser R package.,"Lichen, caribou, wolf"
,LR,FW_059,S_029,,terrestrial,"Bathurst, Canada",,,65°45' N,110°18' W,Latitude and longitude extracted from Google Maps.,65.7500°,-110.3000°,no fish,7,Canis lupus,Wolf,Mammal,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.9±0.05, 3.05±0.2, 3.17±0.64, 1.03±0.45, 2.76±0.24, 1.33±0.47",TLs not provided. We extracted TL values from Figure S5 and Figure S6 using the metaDigitiser R package.,"Vegetation, caribou, wolf"
,LR,FW_060,S_030,,freshwater,"Lake Templin, Germany",,,53°07′ N,13°30′ E,Latitude and longitude extracted from Google Maps.,53.1167°,13.5000°,fish and other species,12,Sander lucioperca,Pike perch,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"1.3, 1.9, 2.1, 3, 3.1, 3.3, 3.3, 3.6, 4.2, 4.1, 4.2, 4.5",Data extracted from Table S2.,NA
,LR,FW_061,S_031,,marine,"Lake Melville, Canada",,,53°74' N,59°57′ W,Latitude and longitude extracted from Google Maps.,54.2333°,-59.9500°,fish and other species,6,Pusa hispida,Ringed seal,Marine mammal,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"1.7, 1.9, 2.6, 3.9, 4, 4.9",Data extracted from Figure 3.4.1,NA
,LR,FW_062,S_031,,brackish,"Lake Melville, Canada",,,53°74' N,59°57′ W,Latitude and longitude extracted from Google Maps.,54.2333°,-59.9500°,fish and other species,3,Salvelinus fontinalis,Brook trout,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2.6, 3.6, 3.7 ",Data extracted from Figure 3.4.1,NA
,LR,FW_063,S_032,,estuarine,"Narragansett Bay, Rhode Island, USA",,,41°30' N,71°20′ W,Latitude and longitude extracted from Fig.1.,41.5000°,-71.3333°,fish and other species,18,Morone saxatilis,Striped Bass,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.44±0.42, 3.15±0.50, 3.27±0.35, 4.25±0.28, 3.23±0.32, 4.37±0.41, 3.36±0.31, 3.83±0.25, 3.56±0.28, 3.82±0.27, 3.67±0.35, 2.03±0.18, 3.97±0.40, 3.51±0.22, 3.11±0.42, 3.21±0.21, 3.75±0.25, 3.20±0.41",Data extracted from Table 5 Supplementary Information,NA
,LR,FW_064,S_033,,freshwater,"Wuliangsuhai Lake, China",,,40°97' N,108° 50' E,Latitude and longitude extracted from Fig. S1.,41.6167°,108.8333°,fish only,11,Channa argus,Northern snakehead,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2.84±0.08, 2.74±0.07, 3.86±0.07, 2.61±0.02, 2.53±0.14, 3.24±0.17, 3.03±0.11, 2.93±0.31, 2.78±0.12, 3.22±0.10, 2.33±0.03",Data extracted from Table S2.,Biomanipulation area (BMA). Different species included.
,LR,FW_065,S_033,,freshwater,"Wuliangsuhai Lake, China",,,40°97' N,108° 50' E,Latitude and longitude extracted from Fig. S1.,41.6167°,108.8333°,fish only,8,Channa argus,Northern snakehead,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.24±0.07, 2.80±0.04, 4.06±0.02, 3.32±0.34, 3.35±0.34, 3.67±0.14, 3.33±0.12, 3.11±0.47",Data extracted from Table S2.,Non-biological manipulation area (NBMA). Different species included.
,LR,FW_066,S_033,,freshwater,"Wuliangsuhai Lake, China",,,40°97' N,108° 50' E,Latitude and longitude extracted from Fig. S1.,41.6167°,108.8333°,fish only,8,Channa argus,Northern snakehead,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2.84±0.08, 2.74±0.07, 3.86±0.07, 2.61±0.02, 3.03±0.11, 2.93±0.31, 2.78±0.12, 3.22±0.10",Data extracted from Fig. 4.,Biomanipulation area (BMA). Different species excluded.
,LR,FW_067,S_033,,freshwater,"Wuliangsuhai Lake, China",,,40°97' N,108° 50' E,Latitude and longitude extracted from Fig. S1.,41.6167°,108.8333°,fish only,7,Channa argus,Northern snakehead,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.24±0.07, 2.80±0.04, 4.06±0.02, 3.32±0.34, 3.35±0.34, 3.67±0.14, 3.33±0.12",Data extracted from Fig. 4.,Non-biological manipulation area (NBMA). Different species excluded.
,LR,FW_068,S_034,,freshwater,"Lake Templin, Germany",,,53°07′ N,13°30′ E,Latitude and longitude extracted from Google Maps.,53.1167°,13.5000°,fish and other species,15,Sander lucioperca,Pikeperch,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"1.3, 2.1, 1.9, 3, 3.1, 3.3, 3.3, 3.6, 3.9, 4.2, 4.1, 4.2, 4.3, 4.3, 4.7",Data extracted from Table 1.,NA
,LR,FW_069,S_035,,freshwater,"Rockport, Lake Huron, USA",,,45°0' N,83°20′ W,Latitude and longitude extracted from text.,45.0000°,-83.3333°,fish and other species,8,Salvelinus namaycush,Lake trout,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2, 2.2, 2.3, 2.4, 2.5, 2.5, 3.2, 3.6",Data extracted from Figure S5a.,Including benthic organisms
,LR,FW_070,S_035,,freshwater,"Rockport, Lake Huron, USA",,,45°0' N,83°20′ W,Latitude and longitude extracted from text.,45.0000°,-83.3333°,fish and other species,6,Salvelinus namaycush,Lake trout,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2, 2.2, 2.3, 2.4, 2.5, 3.6",Data extracted from Figure S5a.,Excluding benthic organisms
,LR,FW_071,S_035,,freshwater,"Port Austin, Lake Huron, USA",,,44°09' N,83°04′ W,Latitude and longitude extracted from text.,44.1500°,-83.0667°,fish and other species,8,Salvelinus namaycush,Lake trout,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2, 2.9, 3.1, 3.2, 3.4, 3.6, 4.4 ",Data extracted from Figure S5a.,Including benthic organisms
,LR,FW_072,S_035,,freshwater,"Port Austin, Lake Huron, USA",,,44°09' N,83°04′ W,Latitude and longitude extracted from text.,44.1500°,-83.0667°,fish and other species,6,Salvelinus namaycush,Lake trout,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2, 2.9, 3.1, 3.2, 4.4",Data extracted from Figure S5a.,Excluding benthic organisms
,LR,FW_073,S_036,,freshwater,"St. Lawrence River, Canada",,,46.8131° N,71.2075° W,Latitude and longitude extracted from Google Maps.,46.8131°,71.2075°,fish and other species,21,Micropterus dolomieu,Smallmouth bass,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,NA,TLs not provided.,Including aquatic plants.
,LR,FW_074,S_036,,freshwater,"St. Lawrence River, Canada",,,46.8131° N,71.2075° W,Latitude and longitude extracted from Google Maps.,46.8131°,71.2075°,fish and other species,18,Micropterus dolomieu,Smallmouth bass,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,NA,TLs not provided.,Excluding aquatic plants.
,LR,FW_075,S_037,,marine,"East China Sea, China",,,30°25' N, 122°30' E,Latitude and longitude extracted from Fig. 1.,30.4167°,122.5000°,fish only,7,Johnius belengeri,Belanger's croaker,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2, 2.3±0.029, 2.7±0.045, 2.7±0.061, 2.9±0.057, 3.0±0.052, 3.2±0.064",Data extracted from Table S4..,NA
,LR,FW_076,S_037,,marine,Antarctic Ocean,,,62°49' S,58°09' W,Latitude and longitude extracted from Fig. 1.,-62.8167°,-58.1500°,fish only,5,Trematomus eulepidotus,Gray rockcod,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2, 2.2±0.043, 2.4±0.050, 2.5±0.068, 2.9±0.099",Data extracted from Table S4.,NA
,LR,FW_077,S_038,,marine,"East China Sea, China",,,29°44′ N,123°14′ E,Latitude and longitude extracted from the text.,29.7333°,123.2333°,fish and other species,27,Miichthys miiuy,Catfish,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2.6±0.037, 2.9±0.057, 2.9±0.051, 3.1±0.050, 3.1±0.061, 3.2±0.063, 3.3±0.034, 3.3±0.047, 3.3±0.062, 3.4±0.062, 3.4±0.037, 3.5±0.065, 3.5±0.040, 3.5±0.066, 3.6±0.047, 3.6±0.061, 3.8±0.038, 2.6±0.048, 4.1±0.063, 2.7±0.043, 2.1±0.027, 2.4±0.028, 2.6±0.029, 2.8±0.040, 2.1±0.039, 2.3±0.037, 2.4±0.040",Data extracted from Table S6.,NA
,LR,FW_078,S_039,,marine,"South China Sea, China",,,22°07′ N, 113°63' E,Latitude and longitude extracted from Table S3 ad the mean value of the sampling locations.,22.1167°,114.0500°,fish and other species,38,Sousa chinensis,Indo-Pacific humpbacked dolphin,Marine mammal,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2.45±0.00, 2.09±0.01, 2.32±0.03, 2.03±0.05, 2.78±0.12, 2.42±0.03, 2.70±0.00, 2.32±0.00, 2.49±0.07, 2.03±0.03, 2.61±0.04, 2.07±0.04, 1.89±0.05, 2.11±0.03, 1.91±0.09, 2.20±0.04, 1.78±0.04, 2.34±0.05, 2.82±0.11, 2.29±0.18, 2.32±0.03, 2.84±0.11, 2.66±0.03, 3.12±0.01, 2.43±0.01, 2.79±0.05, 3.47±0.08, 3.29±0.03, 2.79±0.03, 3.29±0.05, 2.46±0.04, 2.72±0.09, 3.05±0.03, 2.42±0.03, 2.64±0.07, 2.96±0.09, 4.08±0.00, 4.21±0.00",Data extracted from Table S4.,NA
,LR,FW_079,S_040,,marine,"Svarthamaren, Antarctica",,,71°55' S,5°10' E,Latitude and longitude extracted from Google Maps.,-71.9167°,5.16667°,no fish,3,Catharacta maccormicki,South polar skua,Bird,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"4.89±0.12, 3.68±0.36, 2.77±0.72",Data extracted from Table 6 and then we calculated the average value and combined error for each species.,Stomach content cosidered a species (diet)
,LR,FW_080,S_040,,marine,"Svarthamaren, Antarctica",,,71°55' S,5°10' E,Latitude and longitude extracted from Google Maps.,-71.9167°,5.16667°,no fish,2,Catharacta maccormicki,South polar skua,Bird,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"4.89±0.12, 3.68±0.36",Data extracted from Table 6 and then we calculated the average value and combined error for each species.,Stomach content excluded.
,LR,FW_081,S_040,,marine,"Dumont D’Urville, Antarctica",,,66°39′ S,140°00′ E,Latitude and longitude extracted from Google Maps.,-66.6500°,140.0000°,no fish,2,Catharacta maccormicki,South polar skua,Bird,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"4.1±0.34, 3.64±0.08",Data extracted from Table 6.,NA
,LR,FW_082,S_041,,freshwater,"Luoma Lake, China",,,34°05′ N,118°11′ E,Latitude and longitude extracted from Google Maps.,34.0833°,118.1833°,fish and other species,23,Ophiocephalus argus Cantor,Northern snakehead,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"5.86, 4.28, 3.89, 4.54, 2.44, 2.63, 5.30, 3.32, 3.25, 3.76, 3.77, 3.25, 2.97, 3.17, 3.95, 4.22, 2.85, 3.96, 3.72, 2.90, 5.23, 3.66, 3.47, 2.75, 3.78, 3.39, 3.52",Data extracted from Table S8.,NA
,LR,FW_083,S_042,,marine,"Barents Sea, Svalbard",,,74°59' N,37°06' E,Latitude and longitude extracted from Google Maps.,74.9883°,37.1063°,fish and other species,3,Larus hyperboreus,Glaucous gull,Bird,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.7, 4.3, 4.5",Data extracted from the text.,Ice amphipod samples excluded
,LR,FW_084,S_043,,freshwater,"Meretta Lake, Canada",,,73° 44' N,94° 57' W,Latitude and longitude extracted from Google Maps.,74.7009°,94.9947°,fish and other species,3,Salvelinus alpinus,Arctic char,Fish,NA,TL not calculated,NA,TL not calculated,NA
,LR,FW_085,S_043,,freshwater,"Resolute lake, Canada",,,NA,NA,Latitude and longitude extracted from Google Maps.,74.6868°,94.9393°,fish and other species,3,Salvelinus alpinus,Arctic char,Fish,NA,TL not calculated,NA,TL not calculated,NA
,LR,FW_086,S_043,,freshwater,"Char lake, Canada",,,73° 44' N,94° 57' W,Same latitude and longitude of Meretta lake applied.,74.7009°,94.9947°,fish and other species,3,Salvelinus alpinus,Arctic char,Fish,NA,TL not calculated,NA,TL not calculated,NA
,LR,FW_087,S_043,,freshwater,"Small lake, Canada",,,73° 44' N,94° 57' W,Same latitude and longitude of Meretta lake applied.,74.7009°,94.9947°,fish and other species,3,Salvelinus alpinus,Arctic char,Fish,NA,TL not calculated,NA,TL not calculated,NA
,LR,FW_088,S_043,,freshwater,"North lake, Canada",,,73° 44' N,94° 57' W,Same latitude and longitude of Meretta lake applied.,74.7009°,94.9947°,fish and other species,3,Salvelinus alpinus,Arctic char,Fish,NA,TL not calculated,NA,TL not calculated,NA
,LR,FW_089,S_043,,freshwater,"9 mile lake, Canada",,,73° 44' N,94° 57' W,Same latitude and longitude of Meretta lake applied.,74.7009°,94.9947°,fish and other species,3,Salvelinus alpinus,Arctic char,Fish,NA,TL not calculated,NA,TL not calculated,NA
,LR,FW_090,S_044,,freshwater,"Flanders, Belgium",,,NA,NA,Latitude and longitude extracted from Google Maps.,51.2213°,4.4051°,fish and other species,5,NA,Perch,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"4.97±0.15, 4.86±0.14, 2.20±0.11, 2.17±0.25, 3.05",Data extracted from Table S3.,na
,LR,FW_091,S_045,,estuarine,"Zhangjiang River Estuary, China",,,23°55' N,117°25' E,Latitude and longitude extracted from Google Maps.,23.9321°,117.428°,fish and other species,11,Liza carinatus,Keeled mullet,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2.67±0.31, 2.62±0.60, 3.03±0.29, 3.45, 3.09±0.08, 3.18±0.19, 3.14±0.10, 3.26±0.01, 3.11, 2.41, 3.09",Data extracted from Table S3.,Category A
,LR,FW_092,S_045,,estuarine,"Zhangjiang River Estuary, China",,,23°55' N,117°25' E,Latitude and longitude extracted from Google Maps.,23.9321°,117.428°,fish and other species,10,Liza carinatus,Keeled mullet,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.59±0.46, 4.04, 3.99±0.03, 4.17, 4.06, 3.15±0.10, 3.97, 2.50±0.52, 3.69, 3.4",Data extracted from Table S3.,Category B
,LR,FW_093,S_046,,freshwater,"Dunkirk, NY, USA",,,42°28’ N ,79°44’ W,Latitude and longitude extracted from Figure S1..,42.4666°,-79.7333°,fish and other species,7,Salvelinus namaycush,Lake trout,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2±1.5, 3.9±0.07, 3.6±0.024, 3.9±0.091, 3.8±0.067, 3.8±0.059, 4.8±0.070",Data extracted from Table S7.,NA
,LR,FW_094,S_046,,freshwater,"Middle Bass Island, OH, USA",,,41°34’ N,82°54’ W,Latitude and longitude extracted from Figure S1..,41.5666°,82.9°,fish and other species,7,Sander vitreus,Walleye,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2±0.32, 2.9±0.068, 2.9±0.069, 2.9±0.026, 2.9±0.025, 2.5±0.22, 3.2±0.16",Data extracted from Table S7.,NA
,LR,FW_095,S_047,,terrestrial,South and central Norway,,,58°59' N,9°29' E,Latitude and longitude extracted from Google Maps.,58.9909°,9.4863°,no fish,3,Accipiter nisus,Sparrowhawk,Bird,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2, 3, 3.2",Data extracted from Figure S10-12.,NA
,LR,FW_096,S_048,,estuarine,"Passaic River, USA",,,40°44' N,74°08' W,Latitude and longitude extracted from Google Maps.,40.7368°,-74.1441°,fish and other species,12,NA,NA,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,NA,TLs not provided.,Tl values not provided.
,LR,FW_097,S_049,,marine,"Laizhou Bay, China",,,37°15' N,119°41' E,Latitude and longitude extracted from Google Maps.,37.2589°,119.6875°,fish and other species,12,Sebastes schlegeli,Jacopever,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2.08±0.03, na, 2.56±0.06, 2.61±0.02, 2.69±0.01, 2.80±0.01, 3.07±0.02, 3.20±0.00, 3.29±0.03, 3.45±0.05, 3.69±0.04, 3.73±0.03",Data extracted from Table S7.,NA
,LR,FW_098,S_050,,freshwater,"Lake Taihu, China",,,31°28' N,120°08' E,Latitude and longitude extracted from Google Maps.,31.4771°,120.142°,fish and other species,29,Hemibarbus maculates,Spotted steed,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"1.87±0.01, 2.00±0.01, 2.77±0.01, 2.02±0.05, na, 2.65±0.1, 3.03±0.07, 2.35±0.04, 3.75±0.02, 4.43±0.01, 4.16±0.06, 3.79±0.07, 3.97±0.03, 2.32±0.04, 4.13±0.06, 2.56±0.11, 4.22±0.11, 3.48±0.06, 4.05±0.07, 3.85±0.08, 3.83±0.05, 3.94±0.12, 4.12±0.12, 4.03±0.06, 3.99±0.05, 4.49±0.08, 3.94±0.06, 3.02±0.05, 4.04±0.05",Data extracted from Table S3.,NA
,LR,FW_099,S_051,,estuarine,"Seine estuary, France",,,NA,NA,Latitude and longitude extracted from Google Maps.,49.4347°,0.2893°,fish and other species,,,,,,,,,
,LR,FW_100,S_052,,marine,"Belgian North Sea, Belgium",,,51°27' N,"3°06' ""E",Latitude and longitude extracted from Google Maps.,51.4526°,3.1139°,fish and other species,6,Merlangius merlangus,Whiting,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",na,"2.70, 2.73, 2.96, 3.2, 3.39, 3.7",TLs extracted from figure 6 using MetaDigitise,Location 4
,LR,FW_101,S_052,,marine,"Belgian North Sea, Belgium",,,51°27' N,"3°06' ""E",Latitude and longitude extracted from Google Maps.,51.4526°,3.1139°,fish and other species,5,Merlangius merlangus,Whiting,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",na,"2.59, 2.64, 3.1, 3.29, 3.59",TLs extracted from figure 6 using MetaDigitise,Location 5
,LR,FW_102,S_052,,marine,"Belgian North Sea, Belgium",,,51°27' N,"3°06' ""E",Latitude and longitude extracted from Google Maps.,51.4526°,3.1139°,fish and other species,6,Gaidropsarus vulgaris,Three-bearded rockling,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",na,"2.61, 2.85, 2.89, 3, 3.19, 3.49",TLs extracted from figure 6 using MetaDigitise,Location 8 for PFOA
,LR,FW_103,S_052,,marine,"Belgian North Sea, Belgium",,,51°27' N,"3°06' ""E",Latitude and longitude extracted from Google Maps.,51.4526°,3.1139°,fish and other species,5,Gaidropsarus vulgaris,Three-bearded rockling,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",na,"2.9, 3, 3.2, 3.29, 3.5",TLs extracted from figure 6 using MetaDigitise,Location 8 for PFTrDA
,LR,FW_104,S_053,,freshwater,"Ronneby airport, Sweden",,,NA,NA,Latitude and longitude extracted from Google Maps.,56.2546°,15.2667°,no fish,15,Zygoptera,Damselﬂies,Insect,NA,TL not calculated,NA,TL not calculated,Aquatic food web. Food web very close to a PFAS polluted area
,LR,FW_105,S_053,,freshwater,"Ronneby airport, Sweden",,,NA,NA,Latitude and longitude extracted from Google Maps.,56.2546°,15.2667°,no fish,15,Lithobiomorph,Centipedes,Arthropods ,NA,TL not calculated,NA,TL not calculated,Riparian food web. Food web very close to a PFAS polluted area
,LR,FW_106,S_054,,freshwater,"Kvarntorp, Sweden",,,59°6′ N,15°16′ E,Latitude and longitude extracted from the text.,59.1148°,15.2691°,no fish,4,Zygoptera,Damselflies,Insect,NA,TL not calculated,NA,TL not calculated,Emergent aquatic insects
,LR,FW_107,S_054,,terrestrial,"Kvarntorp, Sweden",,,59°6′ N,15°16′ E,Latitude and longitude extracted from the text.,59.1148°,15.2691°,no fish,5,Araneae,Spiders,Arachnida,NA,TL not calculated,NA,TL not calculated,Terrestrial consumers
,LR,FW_108,S_055,,marine,"Nanpeng archipelago, China",,,23°12′ N, 117°14′ E,Latitude and longitude extracted from Google Maps.,23.2000°,117.2333°,fish and other species,39,Clarias macrocephalus,Broadhead catfish,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",na,"1.999, 2.039, 2.062, 2.601, 2.646, 2.726, 2.953, 3.100, 3.225, 3.238, 3.341, 3.390, 3.515, 3.671, 3.662, 4.099",TL values extracted from Figure 4 using WebPlot Digitiser.,NA
,LR,FW_109,S_056,,freshwater,"Gaobeidian Lake, China",,,NA,NA,Latitude and longitude extracted from Google Maps.,39.9076°,116.5248°,fish and other species,5,Carassius auratus,Crucian carp,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N)",na,"1.99, 2.52, 2.59, 2.66, 3.44",TL value extracted from Figure 3 using WebPlot Digitiser.,Tilapia excluded
,LR,FW_110,S_056,,freshwater,"Gaobeidian Lake, China",,,NA,NA,Latitude and longitude extracted from Google Maps.,39.9076°,116.5248°,fish and other species,6,Oreochromis niloticus,Tilapia,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N)",na,"1.99, 2.52, 2.59, 2.66, 3.44, 3.94",TL value extracted from Figure 3 using WebPlot Digitiser.,Tilapia included
,LR,FW_111,S_057,,marine,"Bohai Sea, China",,,NA,NA,Latitude and longitude extracted from Google Maps.,38.8495°,119.7889°,no fish,11,NA,NA,Mollusk,NA,The authors do not provide the trophic level formula,"1.88, 2.1, 2.13, 2.2, 2.28, 2.4, 2.48, 2.54, 2.61, 2.66, 2.83, 3",TL values extracted from Figure S1 using WebPlot Digitizer,NA
,LR,FW_112,S_058,,marine,"Belgian, French, and Dutch North Sea coasts",,,NA,NA,Latitude and longitude extracted from Google Maps.,51.2264°,2.7789°,no fish,4,Phoca vitulina,Harbor seal,Marine mammal,NA,TL not calculated,NA,TL not calculated,NA
,LR,FW_113,S_059,,freshwater,"Yangtze River, Wuhu City, China",,,NA,NA,Latitude and longitude extracted from Google Maps.,31.3743°,118.3407°,fish only,9,Parabramis pekinensis,White Amur bream,Fish,NA,TL not calculated,NA,TL not calculated,NA
,LR,FW_114,S_060,,estuarine,"Omuta River, Japan",,,NA,NA,Latitude and longitude extracted from Google Maps.,33.0377°,130.4359°,fish and other species,5,Lateolabrax sp.,Sea bass,Fish,"Trophicmagnification of polychlorinated biphenyls and polybrominated diphenyl ethers in an estuarine food web of the Ariake Sea, Japan","""The trophic levels (TLs) of the organisms were based on the values reported by Kobayashi et al. (2015).""","3.5±0.5, 1.8±0.7, 2.6±0.5, 2.8±0.6, 2",TL value extracted from Table 1.,NA
,LR,FW_115,S_061,,terrestrial,South Korea,,,NA,NA,Latitude and longitude extracted from Google Maps.,36.0519°,127.3502°,no fish,6,NA,NA,Bird,NA,TL not calculated,NA,TL not calculated,NA
