Initials_double_checker,Initials_data_extraction,Study_ID,Author_year,Note,Rd_ext,Rd_ext_done,Lm_done,Title,DOI,Journal,Study_design,Undetected_strategy_LOD,Undetected_strategy_LOD_comment,Undetected_strategy_LOQ,Undetected_strategy_LOQ_comment,Censored_data_strategy,TEF,TEF_unit_of_measurement,TEF_comment,TL_calculation_baseline,IFF,Linear_regression_formula,Linear_regression_formula_comment,Aggregation,Aggregation_comment,,,Study_comment
,LR,S_048,Khairy_2019,It provides slope and p-value.,No,NA,NA,"Uptake of Hydrophobic Organic Compounds, Including Organochlorine Pesticides, Polybrominated Diphenyl Ethers, and Perfluoroalkyl Acids in Fish and Blue Crabs of the Lower Passaic River, New Jersey, USA",10.1002/etc.4354,Environmental Toxicology and Chemistry,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,NA,NA,NA,NA,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,Equation for TL calculation not provided
,LR,S_049,Li_2023,It provides slope and p-value.,No,NA,NA,Trophic behaviors of PFOA and its alternatives perfluoroalkyl ether carboxylic acids (PFECAs) in a coastal food web,10.1016/j.jhazmat.2023.131353,Journal of Hazardous Materials,Observational. Field study.,not provided,The study does not provide this information.,the limit value divided by two,"""[...] values lower than the LOQ were regarded as LOQ/2""",The LOQ value divided by two,3.8,NA,"The TEF value is not clearly defined. The text states: ""Δδ15N is the trophic enrichment factor of nitrogen isotopes [26]."" We are extractng the TEF value used in the reference provided.",2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_050,Liang_2023,It provides slope and p-value.,No,NA,NA,Disclosing the bioaccumulation and biomagnification behaviors of emerging per/polyfluoroalkyl substances in aquatic food web based on field investigation and model simulation ,10.1016/j.jhazmat.2022.130566,Journal of Hazardous Materials,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,3.8,‰,NA,2,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_051,Gallien_2021,It provides slope and CIs values. We calculated the slope's standard error from CIs.,No,NA,NA,Comprative study of ecodynamic of halogenated micropollutant of historical and emergent interest in the Seine estuary,Thesis,HAL Open Science,Observational. Field study.,zero,"""Deux cas sont alors possibles : i. les résultats sont supérieurs à la valeur de la LD, alors ils sont utilisés tel quels et ii. les résultats sont inférieurs à la LQ donnée par le blanc ou inférieurs à la LD donnée par l’échantillon de contrôle, ils sont remplacés par 0 du fait de la grande variation des niveaux des limites entre les composés """,not provided,The study does not provide this information.,Zero for values < LOD,3.4,‰,NA,2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,Thesis written in French
,LR,S_052,Cara_2022,"It doesn't provide slope and standard error. However, it provides regression plots. We extracted raw data from plots (Figure 6). Slope and error were calculated through regression analysis.",Yes,Yes,Yes,Bioaccumulation and trophic transfer of perfluorinated alkyl substances (PFAS) in marine biota from the Belgian North Sea: Distribution and human health risk implications,10.1016/j.envpol.2022.119907,Environmental Pollution,Observational. Field study.,not provided,The study does not provide this information.,the limit value divided by two,"""Samples with concentrations below the LOQ were given a value corresponding to their LOQ/2 (Bervoets et al., 2004).""",The LOQ value divided by two,3.4,‰,NA,2,No,[PFAS] = TL(slope) + intercept,NA,No,NA,,,[PFAS] not log-transformed
,LR,S_053,Koch_2020,"It doesn't provide slope and standard error. However, it provides regression plots. We extracted raw data from plots (Figure 4). Slope and error were calculated through regression analysis.",Yes,Yes,Yes,Per-and polyfluoroalkyl-contaminated freshwater impacts adjacent riparian food webs,10.1021/acs.est.0c01640,Environmental Science & Technology,Observational. Field study.,the limit value divided by two,"or statistical analysis, values that were below MQL butabove MDL were used without alteration, while values belowMDL were replaced by MDL/2.",used without alteration,"""For statistical analysis, values that were below MQL butabove MDL were used without alteration""",The MDL value divided by two,NA,NA,NA,NA,NA,log[PFAS] = δ15N(slope) + intercept,NA,No,NA,,,[PFAS] regressed against nitrogen isotopes. We will extract raw data from Fig. 4 and calculate slope and error. The study only provides p-value.
,LR,S_054,Koch_2021,"It doesn't provide slope and standard error. However, it provides regression plots. We extracted raw data from plots (Figure S10). Slope and error were calculated through regression analysis.",Yes,Yes,Yes,Quantification of Biodriven Transfer of Per- and Polyfluoroalkyl Substances from the Aquatic to the Terrestrial Environment via Emergent Insects,10.1021/acs.est.0c07129,Environmental Science & Technology,Observational. Field study.,the limit value divided by two,"""values below MDL were replaced by MDL/2""",used without alteration,"""For calculations and graphs, values that were below the MQL but above the MDL were used without modification""",The MDL value divided by two,NA,NA,NA,NA,NA,[PFAS] = δ15N(slope) + intercept,NA,No,NA,,,[PFAS] regressed against nitrogen isotopes. Trophic levels not calculated.
,LR,S_055,Diao_2022,It only provides slope values.,No,NA,NA,Perfluoroalkyl substances in marine food webs from South China Sea: Trophic transfer and human exposure implication,10.1016/j.jhazmat.2022.128602,Journal of Hazardous Materials,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,3.4,‰,NA,2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_056,Li_2008,"It doesn't provide slope and standard error. However, it provides regression plots. We extracted raw data from plots (Figure 3). Slope and error were calculated through regression analysis.",Yes,Yes,Yes,Perfluorooctane sulfonate (PFOS) and other fluorochemicals in fish blood collected near the outfall of wastewater treatment plant (WWTP) in Beijing,10.1016/j.envpol.2008.03.008,Environmental Pollution,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,NA,NA,TEF not included in the TL calculation formula,2,No,ln[PFAS] = TL(slope) + intercept,The study did not calculate the slope,No,NA,,,NA
,LR,S_057,Pan_2010,"It doesn't provide slope and standard error. However, it provides regression plots. We extracted raw data from plots (Figure S1). Slope and error were calculated through regression analysis.",Yes,Yes,Yes,Investigation of perfluorinated compounds (PFCs) in mollusks from coastal waters in the Bohai Sea of China,10.1039/b909302h,Journal of Environmental Monitoring,Observational. Field study.,the limit value divided by the square root of two,"""Concentrations below the LOD were assigned as LOD/2 when mean concentrations were calculated.""",not provided,The study does not provide this information.,The LOD value divided by two,NA,NA,NA,NA,NA,[PFAS] = TL(slope) + intercept,The study did not calculate the slope,No,NA,,,Equation for TL calculation not provided
,LR,S_058,Van de Vijver_2003,"It only provides the slope value. However, it provides regression plots. We extracted raw data from plots (Figure 3). Slope and error were calculated through regression analysis.",Yes,Yes,Yes,Perfluorinated Chemicals InfiltrateOcean Waters: Link betweenExposure Levels and Stable IsotopeRatios in Marine Mammals,10.1021/es0345975,Environmental Science & Technology,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,NA,NA,NA,NA,NA,[PFAS] = δ15N(slope) + intercept,The study did not calculate the slope,No,NA,,,[PFAS] regressed against nitrogen isotopes. Trophic levels not calculated.
,LR,S_059,Jiao_2023,"It doesn't provide slope and standard error. However, it provides regression plots. We extracted raw data from plots (Figure 4c). Slope and error were calculated through regression analysis.",Yes,Yes,Yes,"The occurrence, tissue distribution, and PBT potential of per- and polyfluoroalkyl substances in the freshwater organisms from the Yangtze river via nontarget analysis",10.1016/j.jhazmat.2023.131868,Journal of Hazardous Materials,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,NA,NA,NA,NA,NA,[PFAS] = δ15N(slope) + intercept,The study did not calculate the slope,No,NA,,,[PFAS] regressed against nitrogen isotopes. Trophic levels not calculated.
,LR,S_060,Kobayashi_2018,"It doesn't provide slope and standard error. However, it provides means and standard errors of PFAS concentration in each species investigated, as well as trophic level. Slope and error were calculated through regression analysis.",Yes,Yes,Yes,"Bioaccumulation Patterns of Perfluoroalkyl Acids in an Estuary of the Ariake Sea, Japan",10.1007/s00128-018-2282-z,Bulletin of environmental contamination and toxicology,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,3.4,‰,NA,2,NA,[PFAS] = TL(slope) + intercept,The study did not calculate the slope,No,NA,,,NA
,LR,S_061,Fremlin_2023,"It provides slope, standard error, and CIs values (Table S12 and Table S16). For slopes without standard error, we calculated the slope's standard error from CIs.",No,NA,NA,Developing methods for assessing trophic magnification of perfluoroalkyl substances within an urban terrestrial avian food web,10.1021/acs.est.3c02361,Environmental Science & Technology,Observational. Field study.,censored regression functions,"""Geometric and/or arithmetic mean concentrations of PFAS in air, soil, and biota samples were calculated using the Nondetects and Data Analysis for Environmental Data (NADA) package or the EnvStats package in the R program if measured concentrations in samples were below the method limit of quantification (MLOQ) or the method detection limit (MDL). [...] To compute TMFs, we used censored regressionfunctions in the NADA package to account for concentrationsbelow the MLOQ.""",censored regression functions,"""Geometric and/or arithmetic mean concentrations of PFAS in air, soil, and biota samples were calculated using the Nondetects and Data Analysis for Environmental Data (NADA) package or the EnvStats package in the R program if measured concentrations in samples were below the method limit of quantification (MLOQ) or the method detection limit (MDL). [...] To compute TMFs, we used censored regressionfunctions in the NADA package to account for concentrationsbelow the MLOQ.""",Exclusion of data if values were < LOQ.,2.88,‰,NA,NA,No,ln[PFAS] = TL(slope) + intercept,The study estimated the TMFs for PFAS  based on apparent chemical activities (TMFA); concentrations normalised tototal protein (TMFP); concentrations normalised toalbumin(TMFAL); concentrations normalised tototallipid (TMFL); concentrations normalised topolar lipids(TMFPL); wet weight concentrations (TMFW); and dryweight concentrations (TMFD) ,No,No,,,NA
,LR,S_062,Miniero_2014,"It doesn't provide slope and standard error. However, it provides stable nitrogen isotope results (Table 1) and PFAS concentrations (Table SM-1). Slope and error were calculated through regression analysis.",Yes,Yes,Yes,Persistent toxic substances in Mediterranean aquatic species,10.1016/j.scitotenv.2014.05.131,Science of the Total Environment,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,NA,NA,NA,NA,NA,ln[PFAS] = TL(slope) + intercept,The study did not calculate the slope,No,No,,,NA
,LR,S_063,Chen_2023,It provides slope and p-value (Table S6). It also provides PFAS concentrations (Table S5) and TL values (Table 1) for 15 compounds. Slope and error were calculated through regression analysis.,Yes,Yes,Yes,Bioaccumulation and risk mitigation of legacy and novel perfluoroalkyl substances in seafood: Insights from trophic transfer and cooking method,10.1016/j.envint.2023.108023,Environment International,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,3.4,‰,NA,2,NA,log[PFAS] = TL(slope) + intercept,NA,No,No,,,NA
,LR,S_064,Barghi_2018,"It doesn't provide slope and standard error. However, it provides regression plots. We extracted raw data from plots (Figure S2). Slope and error were calculated through regression analysis.",Yes,Yes,Yes,Accumulation and exposure assessment of persistent chlorinated and f luorinated contaminants in Korean birds,10.1016/j.scitotenv.2018.07.040,Science of the Total Environment,Observational. Field study.,not provided,The study does not provide this information.,the limit value divided by the square root of two,"""Theindividual PCB, OCP, and PFAS compounds with adetection rate N 50% for all the samples were used for the statistical analyses after treating as a square root of LOQ.""",The LOQ value divided by the square root of two,NA,NA,NA,NA,NA,[PFAS] = δ15N(slope) + intercept,The study did not calculate the slope,No,NA,,,NA
,LR,S_065,Yordy_2013,"It doesn't provide slope and standard error. However, it provides stable nitrogen isotope results and PFAS concentrations in Table 1. Slope and error were calculated through regression analysis.",Yes,Yes,Yes,"Levels of chlorinated, brominated, and perfluorinated contaminants in birds of prey spanning multiple trophic levels",10.7589/2012-03-084,Journal of Wildlife Diseases,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,NA,NA,NA,NA,NA,[PFAS] = δ15N(slope) + intercept,The study did not calculate the slope,No,NA,,,NA
,LR,S_066,Mo_2024,"It doesn't provide slope and standard error. However, it provides stable nitrogen isotope results and PFAS concentrations in Table 1. Slope and error were calculated through regression analysis.",Yes,Yes,Yes,"Per-and polyfluoroalkyl substances in waterbird feathers around Poyang Lake, China: Compound and species-specific bioaccumulation",10.1016/j.ecoenv.2024.116141,Ecotoxicology and Environmental Safety,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,NA,NA,NA,NA,NA,[PFAS] = δ15N(slope) + intercept,The study did not calculate the slope,No,NA,,,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LR,S_XX3,Ren_2021,,,,,Bioaccumulation of perfluoroalkyl substances in a Lake Ontario food web.,10.1016/j.jglr.2021.08.013,Journal of Great Lakes Research,Observational. Field study.,,,,,,,,,,,,,,,,,
