Initial_check,Initials_data_extraction,TMF_ID,FW_ID,Study_ID,PFAS_ID,Sample_type,Sample_type_comment,Biomass_conversion,Biomass_conversion_comment,Regression_type,Regression_type_comment,Conc_determ_method,Conc_determ_method_comment,Undetected_strategy_LOD,Undetected_strategy_LOQ,Censored_data_strategy,TMF_formula,TMF,TMF_lower_95CI,TMF_upper_95CI,TMF_se,TMS,TMS_lower_95CI,TMS_upper_95CI,TMS_se,TMS_calculated,TMS_se_calculated,n_samples,n_obs,n_obs_comment,tau/rho,intercept,pvalue,pvalue_adj,r,TMS_comment
,LR,TMF_120,FW_009,S_003,PFDA,specific tissues and whole-organisms,"""Homogenized plankton, muscle tissue of fish "". ""In the current study, muscle concentrations were used for the calculation.""",no,na,Rank correlation,Pearson’s rank correlation,wet weight concentrations (ww),na,Zero,The limit value divided by the square root of two,,e^slope,na,na,na,na,0.926,na,na,0.4,na,na,48,,,na,na,0.042,0.042,na,Data extracted from Table S4. Slope's standard error reported as standard deviation
,LR,TMF_121,FW_009,S_003,PFUnDA,specific tissues and whole-organisms,"""Homogenized plankton, muscle tissue of fish "". ""In the current study, muscle concentrations were used for the calculation.""",no,na,Rank correlation,Pearson’s rank correlation,wet weight concentrations (ww),na,Zero,The limit value divided by the square root of two,,e^slope,na,na,na,na,0.812,na,na,0.327,na,na,48,,,na,na,0.032,0.032,na,Data extracted from Table S4. Slope's standard error reported as standard deviation
,LR,TMF_122,FW_009,S_003,PFDoDA,specific tissues and whole-organisms,"""Homogenized plankton, muscle tissue of fish "". ""In the current study, muscle concentrations were used for the calculation.""",no,na,Rank correlation,Pearson’s rank correlation,wet weight concentrations (ww),na,Zero,The limit value divided by the square root of two,,e^slope,na,na,na,na,1.14,na,na,0.327,na,na,48,,,na,na,0.005,0.005,na,Data extracted from Table S4. Slope's standard error reported as standard deviation
,LR,TMF_123,FW_009,S_003,PFOS,specific tissues and whole-organisms,"""Homogenized plankton, muscle tissue of fish "". ""In the current study, muscle concentrations were used for the calculation.""",no,na,Rank correlation,Pearson’s rank correlation,wet weight concentrations (ww),na,Zero,The limit value divided by the square root of two,,e^slope,na,na,na,na,1.32,na,na,0.272,na,na,48,,,na,na,0.001,0.001,na,Data extracted from Table S4. Slope's standard error reported as standard deviation
,LR,TMF_124,FW_010,S_004,PFOS,specific tissues and whole-organisms,Homogenized zooplankton and portion of the dorsal muscle of fish,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,The limit value divided by two,,10^slope,3,1.17,7.71,na,0.48,na,na,na,0.4834,0.1968,20,,,na,na,0.025,0.025,na,Data extracted from Table 2. SE calculated from CIs.
,LR,TMF_125,FW_010,S_004,PFNA,specific tissues and whole-organisms,Homogenized zooplankton and portion of the dorsal muscle of fish,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,The limit value divided by two,,10^slope,na,na,na,na,na,na,na,na,-0.1055,0.3343,na,,,na,na,na,na,na,Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.
,LR,TMF_126,FW_010,S_004,PFDA,specific tissues and whole-organisms,Homogenized zooplankton and portion of the dorsal muscle of fish,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,The limit value divided by two,,10^slope,na,na,na,na,na,na,na,na,0.4641,0.1304,20,,,na,na,0.094,0.094,na,Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.
,LR,TMF_127,FW_010,S_004,PFUnDA,specific tissues and whole-organisms,Homogenized zooplankton and portion of the dorsal muscle of fish,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,The limit value divided by two,,10^slope,na,na,na,na,na,na,na,na,0.08834,0.16892,20,,,na,na,0.631,0.631,na,Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.
,LR,TMF_128,FW_010,S_004,PFDoDA,specific tissues and whole-organisms,Homogenized zooplankton and portion of the dorsal muscle of fish,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,The limit value divided by two,,10^slope,na,na,na,na,na,na,na,na,0.06492,0.19489,20,,,na,na,0.515,0.515,na,Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.
,LR,TMF_129,FW_011,S_004,PFOS,specific tissues,Portion of the dorsal muscle of fish,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,The limit value divided by two,,10^slope,na,na,na,na,na,na,na,na,0.05947,0.17484,10,,,na,na,0.75,0.75,-0.078,Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.
,LR,TMF_130,FW_011,S_004,PFDA,specific tissues,Portion of the dorsal muscle of fish,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,The limit value divided by two,,10^slope,na,na,na,na,na,na,na,na,0.2216,0.1203,10,,,na,na,na,na,na,Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.
,LR,TMF_131,FW_011,S_004,PFUnDA,specific tissues,Portion of the dorsal muscle of fish,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,The limit value divided by two,,10^slope,na,na,na,na,na,na,na,na,0.231,0.1633,10,,,na,na,na,na,na,Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.
,LR,TMF_132,FW_011,S_004,PFDoDA,specific tissues,Portion of the dorsal muscle of fish,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,The limit value divided by two,,10^slope,na,na,na,na,na,na,na,na,0.09328,0.19743,10,,,na,na,na,na,na,Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.
,LR,TMF_133,FW_012,S_005,PFOA,specific tissues and whole-organisms,fish homogenates and dolphin plasma,no,na,Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,13,na,na,22,na,na,na,na,na,na,68,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_134,FW_012,S_005,PFNA,specific tissues and whole-organisms,fish homogenates and dolphin plasma,no,na,Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,4.7,na,na,8.4,na,na,na,na,na,na,68,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_135,FW_012,S_005,PFDA,specific tissues and whole-organisms,fish homogenates and dolphin plasma,no,na,Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,3.4,na,na,5.1,na,na,na,na,na,na,68,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_136,FW_012,S_005,PFUnDA,specific tissues and whole-organisms,fish homogenates and dolphin plasma,no,na,Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,3,na,na,3.9,na,na,na,na,na,na,68,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_137,FW_012,S_005,PFDoDA,specific tissues and whole-organisms,fish homogenates and dolphin plasma,no,na,Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,0.7,na,na,0.8,na,na,na,na,na,na,68,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_138,FW_012,S_005,PFHxS,specific tissues and whole-organisms,fish homogenates and dolphin plasma,no,na,Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,0.2,na,na,0.9,na,na,na,na,na,na,68,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_139,FW_012,S_005,FOSA,specific tissues and whole-organisms,fish homogenates and dolphin plasma,no,na,Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,5.9,na,na,8.8,na,na,na,na,na,na,68,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_140,FW_012,S_005,PFOS,specific tissues and whole-organisms,fish homogenates and dolphin plasma,no,na,Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,4.9,na,na,6.1,na,na,na,na,na,na,68,,,na,na,0.71,0.71,na,Data extracted from Table 2
,LR,TMF_141,FW_012,S_005,PFOA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"The authors use a whole body burden estimation for dolphins but do not report the estimation method. They only report ""Whole body burden estimation is based on tissue concentrations available for one dead individual/location""",Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,6.3,na,na,6.7,na,na,na,na,na,na,68,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_142,FW_012,S_005,PFNA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"The authors use a whole body burden estimation for dolphins but do not report the estimation method. They only report ""Whole body burden estimation is based on tissue concentrations available for one dead individual/location""",Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,2.4,na,na,3.1,na,na,na,na,na,na,68,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_143,FW_012,S_005,PFDA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"The authors use a whole body burden estimation for dolphins but do not report the estimation method. They only report ""Whole body burden estimation is based on tissue concentrations available for one dead individual/location""",Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,2.2,na,na,2.4,na,na,na,na,na,na,68,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_144,FW_012,S_005,PFUnDA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"The authors use a whole body burden estimation for dolphins but do not report the estimation method. They only report ""Whole body burden estimation is based on tissue concentrations available for one dead individual/location""",Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,2.3,na,na,2.5,na,na,na,na,na,na,68,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_145,FW_012,S_005,PFDoDA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"The authors use a whole body burden estimation for dolphins but do not report the estimation method. They only report ""Whole body burden estimation is based on tissue concentrations available for one dead individual/location""",Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,0.6,na,na,0.8,na,na,na,na,na,na,68,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_146,FW_012,S_005,PFHxS,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"The authors use a whole body burden estimation for dolphins but do not report the estimation method. They only report ""Whole body burden estimation is based on tissue concentrations available for one dead individual/location""",Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,0.1,na,na,0.4,na,na,na,na,na,na,68,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_147,FW_012,S_005,FOSA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"The authors use a whole body burden estimation for dolphins but do not report the estimation method. They only report ""Whole body burden estimation is based on tissue concentrations available for one dead individual/location""",Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,5,na,na,7,na,na,na,na,na,na,68,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_148,FW_012,S_005,PFOS,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"The authors use a whole body burden estimation for dolphins but do not report the estimation method. They only report ""Whole body burden estimation is based on tissue concentrations available for one dead individual/location""",Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,1.8,na,na,1.2,na,na,na,na,na,na,68,,,na,na,0.6,0.6,na,Data extracted from Table 2
,LR,TMF_149,FW_013,S_005,PFOS,specific tissues and whole-organisms,zooplankton and fish homogenates and dolphin plasma,no,na,Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,11,na,na,14,na,na,na,na,na,na,65,,,na,na,0.06,0.06,na,Data extracted from Table 2
,LR,TMF_150,FW_014,S_005,PFOS,specific tissues and whole-organisms,fish homogenates and dolphin plasma,no,na,Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,7.9,na,na,na,na,na,na,na,na,na,62,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_151,FW_013,S_005,PFOS,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"The authors use a whole body burden estimation for dolphins but do not report the estimation method. They only report ""Whole body burden estimation is based on tissue concentrations available for one dead individual/location""",Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,6.3,na,na,5.9,na,na,na,na,na,na,65,,,na,na,0.05,0.05,na,Data extracted from Table 2
,LR,TMF_152,FW_014,S_005,PFOS,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"The authors use a whole body burden estimation for dolphins but do not report the estimation method. They only report ""Whole body burden estimation is based on tissue concentrations available for one dead individual/location""",Linear regression,na,wet weight concentrations (ww),na,Random numbers below half of the limit value,not provided,,e^slope,1.4,na,na,na,na,na,na,na,na,na,62,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_153,FW_018,S_006,l-PFOS,specific tissues and whole-organisms,Homogenized zooplankton and fish muscle,no,na,Linear regression,na,wet weight concentrations (ww),na,The limit value divided by two,not provided,,10^slope,3.7,na,na,0.94,na,na,na,na,na,na,32,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_154,FW_018,S_006,mm-PFOS,specific tissues and whole-organisms,Homogenized zooplankton and fish muscle,no,na,Linear regression,na,wet weight concentrations (ww),na,The limit value divided by two,not provided,,10^slope,3,na,na,0.59,na,na,na,na,na,na,32,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_155,FW_018,S_006,dm-PFOS,specific tissues and whole-organisms,Homogenized zooplankton and fish muscle,no,na,Linear regression,na,wet weight concentrations (ww),na,The limit value divided by two,not provided,,10^slope,0.87,na,na,0.12,na,na,na,na,na,na,32,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_156,FW_018,S_006,PFOS,specific tissues and whole-organisms,Homogenized zooplankton and fish muscle,no,na,Linear regression,na,wet weight concentrations (ww),na,The limit value divided by two,not provided,,10^slope,3.8,na,na,0.98,na,na,na,na,na,na,32,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_157,FW_019,S_006,l-PFOS,specific tissues and whole-organisms,Homogenized zooplankton and fish muscle,no,na,Linear regression,na,wet weight concentrations (ww),na,The limit value divided by two,not provided,,10^slope,3.9,na,na,0.78,na,na,na,na,na,na,32,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_158,FW_019,S_006,mm-PFOS,specific tissues and whole-organisms,Homogenized zooplankton and fish muscle,no,na,Linear regression,na,wet weight concentrations (ww),na,The limit value divided by two,not provided,,10^slope,2.8,na,na,0.52,na,na,na,na,na,na,32,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_159,FW_019,S_006,dm-PFOS,specific tissues and whole-organisms,Homogenized zooplankton and fish muscle,no,na,Linear regression,na,wet weight concentrations (ww),na,The limit value divided by two,not provided,,10^slope,0.77,na,na,0.09,na,na,na,na,na,na,32,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_160,FW_019,S_006,PFOS,specific tissues and whole-organisms,Homogenized zooplankton and fish muscle,no,na,Linear regression,na,wet weight concentrations (ww),na,The limit value divided by two,not provided,,10^slope,4.2,na,na,0.87,na,na,na,na,na,na,32,,,na,na,na,na,na,Data extracted from Table 2
,LR,TMF_161,FW_020,S_007,PFOA,specific tissues and whole-organisms,"""Fluorinated chemicals were measured in subsamples of the livers of the marine mammals and pelagic fish and in pooled whole-body composites of T. libellula and C. hyperboreus.""",no,na,Linear regression,na,wet weight concentrations (ww),na,The limit value divided by two,not provided,,e^slope,2.1,1.4,3.2,na,0.748,na,na,na,na,na,56,,,na,na,0.0006,0.0006,na,Data extracted from Table S14. SE calculated from CIs.
,LR,TMF_162,FW_020,S_007,PFNA,specific tissues and whole-organisms,"""Fluorinated chemicals were measured in subsamples of the livers of the marine mammals and pelagic fish and in pooled whole-body composites of T. libellula and C. hyperboreus.""",no,na,Linear regression,na,wet weight concentrations (ww),na,The limit value divided by two,not provided,,e^slope,3.8,2.9,6.2,na,1.325,na,na,na,na,na,56,,,na,na,0.0001,0.0001,na,Data extracted from Table S14. SE calculated from CIs.
,LR,TMF_163,FW_020,S_007,PFDA,specific tissues and whole-organisms,"""Fluorinated chemicals were measured in subsamples of the livers of the marine mammals and pelagic fish and in pooled whole-body composites of T. libellula and C. hyperboreus.""",no,na,Linear regression,na,wet weight concentrations (ww),na,The limit value divided by two,not provided,,e^slope,6.3,3.3,12.1,na,1.8477,na,na,na,na,na,56,,,na,na,0.0001,0.0001,na,Data extracted from Table S14. SE calculated from CIs.
,LR,TMF_164,FW_020,S_007,PFUnDA,specific tissues and whole-organisms,"""Fluorinated chemicals were measured in subsamples of the livers of the marine mammals and pelagic fish and in pooled whole-body composites of T. libellula and C. hyperboreus.""",no,na,Linear regression,na,wet weight concentrations (ww),na,The limit value divided by two,not provided,,e^slope,13.7,5.9,31.2,na,2.6142,na,na,na,na,na,56,,,na,na,0.0001,0.0001,na,Data extracted from Table S14. SE calculated from CIs.
,LR,TMF_165,FW_020,S_007,PFOS,specific tissues and whole-organisms,"""Fluorinated chemicals were measured in subsamples of the livers of the marine mammals and pelagic fish and in pooled whole-body composites of T. libellula and C. hyperboreus.""",no,na,Linear regression,na,wet weight concentrations (ww),na,The limit value divided by two,not provided,,e^slope,6.3,2.4,16.6,na,1.8372,na,na,na,na,na,56,,,na,na,0.004,0.004,na,Data extracted from Table S14. SE calculated from CIs.
,LR,TMF_166,FW_020,S_007,FOSA,specific tissues and whole-organisms,"""Fluorinated chemicals were measured in subsamples of the livers of the marine mammals and pelagic fish and in pooled whole-body composites of T. libellula and C. hyperboreus.""",no,na,Linear regression,na,wet weight concentrations (ww),na,The limit value divided by two,not provided,,e^slope,1.9,1.5,2.3,na,0.63,na,na,na,na,na,56,,,na,na,0.001,0.001,na,Data extracted from Table S14. SE calculated from CIs.
,LR,TMF_167,FW_020,S_007,PFNA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,PFC measured liver-based concentrations in the pelagic fish were converted to a whole-body concentration - see supplementayr information,Linear regression,na,wet weight concentrations (ww),na,The limit value divided by two,not provided,,e^slope,4.8,1.8,12.6,na,1.5663,na,na,na,na,na,56,,,na,na,0.002,0.002,na,Data extracted from Table S14. SE calculated from CIs.
,LR,TMF_168,FW_020,S_007,PFDA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,PFC measured liver-based concentrations in the pelagic fish were converted to a whole-body concentration - see supplementayr information,Linear regression,na,wet weight concentrations (ww),na,The limit value divided by two,not provided,,e^slope,19.8,4.8,8.1,na,2.9879,na,na,na,na,na,56,,,na,na,0.0001,0.0001,na,Data extracted from Table S14. SE calculated from CIs.
,LR,TMF_169,FW_020,S_007,PFOS,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,PFC measured liver-based concentrations in the pelagic fish were converted to a whole-body concentration - see supplementayr information,Linear regression,na,wet weight concentrations (ww),na,The limit value divided by two,not provided,,e^slope,19.6,4.2,90.5,na,2.9738,na,na,na,na,na,56,,,na,na,0.003,0.003,na,Data extracted from Table S14. SE calculated from CIs.
,LR,TMF_170,FW_022,S_008,PFOS,specific tissues and whole-organisms,"""Fluorinated organic compounds were analyzed in liver tissues of beluga whale (Delphinapterus leucas), narwhal (Monodon monoceros), walrus (Odobenus rosmarus), deepwater redfish (Sebastes mentella), glaucous gulls (Larus hyperboreus), and black-legged kittiwake (Rissa tridactyla). Whole organism homogenates of Arctic cod (Boreogadus saida), shrimp (Pandalus borealis; Hymenodora glacialis), clams (Mya truncata; Serripes groenlandica), and mixed zooplankton were analyzed."" ""the BMFs and TMFs determined for PFOS and associated compounds are based on liver concentrations in seabirds and marine mammals.""",no,na,Linear regression,na,wet weight concentrations (ww),na,The limit value divided by two,not provided,,e^slope,na,na,na,na,1.14,na,na,na,na,na,54,,,na,na,< 0.0001,0.0001,0.51,Data extracted from Figure 2.
,LR,TMF_171,FW_023,S_009,PFOS,specific tissues and whole-organisms,Fish liver for large-size fish and whole-body homogenate for small fish. ,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,The limit value divided by two,,e^slope,1.3,na,na,na,0.26,0.02,0.51,na,na,na,39,,,na,na,na,na,na,Data extracted from Table S8. SE calculated from CIs.
,LR,TMF_172,FW_023,S_009,PFTeDA,specific tissues and whole-organisms,Fish liver for large-size fish and whole-body homogenate for small fish. ,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,The limit value divided by two,,e^slope,1.12,na,na,na,0.11,-0.27,0.46,na,na,na,37,,,na,na,na,na,na,Data extracted from Table S8. SE calculated from CIs.
,LR,TMF_173,FW_023,S_009,PFDoDA,specific tissues and whole-organisms,Fish liver for large-size fish and whole-body homogenate for small fish. ,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,The limit value divided by two,,e^slope,1.38,na,na,na,0.32,0.06,0.57,na,na,na,37,,,na,na,na,na,na,Data extracted from Table S8. SE calculated from CIs.
,LR,TMF_174,FW_023,S_009,PFUnDA,specific tissues and whole-organisms,Fish liver for large-size fish and whole-body homogenate for small fish. ,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,The limit value divided by two,,e^slope,1.74,na,na,na,0.56,0.17,1.04,na,na,na,37,,,na,na,na,na,na,Data extracted from Table S8. SE calculated from CIs.
,LR,TMF_175,FW_023,S_009,PFDA,specific tissues and whole-organisms,Fish liver for large-size fish and whole-body homogenate for small fish. ,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,The limit value divided by two,,e^slope,1.5,na,na,na,0.41,0.12,0.86,na,na,na,34,,,na,na,na,na,na,Data extracted from Table S8. SE calculated from CIs.
,LR,TMF_176,FW_023,S_009,PFNA,specific tissues and whole-organisms,Fish liver for large-size fish and whole-body homogenate for small fish. ,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,The limit value divided by two,,e^slope,1,na,na,na,0.006,-0.05,0.05,na,na,na,25,,,na,na,na,na,na,Data extracted from Table S8. SE calculated from CIs.
,LR,TMF_177,FW_023,S_009,PFOA,specific tissues and whole-organisms,Fish liver for large-size fish and whole-body homogenate for small fish. ,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,The limit value divided by two,,e^slope,1,na,na,na,-0.002,-0.03,0.03,na,na,na,25,,,na,na,na,na,na,Data extracted from Table S8. SE calculated from CIs.
,LR,TMF_178,FW_023,S_009,NEtFOSAA,specific tissues and whole-organisms,Fish liver for large-size fish and whole-body homogenate for small fish. ,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,The limit value divided by two,,e^slope,1.02,na,na,na,0.02,-0.06,0.15,na,na,na,39,,,na,na,na,na,na,Data extracted from Table S8. SE calculated from CIs.
,LR,TMF_179,FW_023,S_009,7:3 FTCA,specific tissues and whole-organisms,Fish liver for large-size fish and whole-body homogenate for small fish. ,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,The limit value divided by two,,e^slope,0.92,na,na,na,-0.09,-0.34,0.04,na,na,na,22,,,na,na,na,na,na,Data extracted from Table S8. SE calculated from CIs.
,LR,TMF_180,FW_024,S_010,PFOA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""Note that small fish and invertebrates were prepared as pooled whole-body homogenates, while muscle tissues were processed for larger fish (>100 mm). Therefore, a correction factor was determined and used to convert PFAS muscle concentrations into whole-body (w-b) concentrations.""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,Censored responses,not provided,,10^slope,2,1.9,2.1,na,na,na,na,na,na,na,147,,,na,na,na,na,na,Data extracted from Table S17. SE calculated from CIs.
,LR,TMF_181,FW_024,S_010,PFNA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""Note that small fish and invertebrates were prepared as pooled whole-body homogenates, while muscle tissues were processed for larger fish (>100 mm). Therefore, a correction factor was determined and used to convert PFAS muscle concentrations into whole-body (w-b) concentrations.""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,Censored responses,not provided,,10^slope,1.5,1.4,1.6,na,na,na,na,na,na,na,147,,,na,na,na,na,na,Data extracted from Table S17. SE calculated from CIs.
,LR,TMF_182,FW_024,S_010,PFDA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""Note that small fish and invertebrates were prepared as pooled whole-body homogenates, while muscle tissues were processed for larger fish (>100 mm). Therefore, a correction factor was determined and used to convert PFAS muscle concentrations into whole-body (w-b) concentrations.""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,Censored responses,not provided,,10^slope,1.2,1.1,1.2,na,na,na,na,na,na,na,147,,,na,na,na,na,na,Data extracted from Table S17. SE calculated from CIs.
,LR,TMF_183,FW_024,S_010,PFUnDA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""Note that small fish and invertebrates were prepared as pooled whole-body homogenates, while muscle tissues were processed for larger fish (>100 mm). Therefore, a correction factor was determined and used to convert PFAS muscle concentrations into whole-body (w-b) concentrations.""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,Censored responses,not provided,,10^slope,1.1,1,1.2,na,na,na,na,na,na,na,147,,,na,na,na,na,na,Data extracted from Table S17. SE calculated from CIs.
,LR,TMF_184,FW_024,S_010,PFDoDA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""Note that small fish and invertebrates were prepared as pooled whole-body homogenates, while muscle tissues were processed for larger fish (>100 mm). Therefore, a correction factor was determined and used to convert PFAS muscle concentrations into whole-body (w-b) concentrations.""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,Censored responses,not provided,,10^slope,1.2,1.2,1.3,na,na,na,na,na,na,na,147,,,na,na,na,na,na,Data extracted from Table S17. SE calculated from CIs.
,LR,TMF_185,FW_024,S_010,PFTrDA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""Note that small fish and invertebrates were prepared as pooled whole-body homogenates, while muscle tissues were processed for larger fish (>100 mm). Therefore, a correction factor was determined and used to convert PFAS muscle concentrations into whole-body (w-b) concentrations.""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,Censored responses,not provided,,10^slope,1.1,0.99,1.2,na,na,na,na,na,na,na,147,,,na,na,na,na,na,Data extracted from Table S17. SE calculated from CIs.
,LR,TMF_186,FW_024,S_010,PFTeDA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""Note that small fish and invertebrates were prepared as pooled whole-body homogenates, while muscle tissues were processed for larger fish (>100 mm). Therefore, a correction factor was determined and used to convert PFAS muscle concentrations into whole-body (w-b) concentrations.""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,Censored responses,not provided,,10^slope,0.79,0.68,0.91,na,na,na,na,na,na,na,147,,,na,na,na,na,na,Data extracted from Table S17. SE calculated from CIs.
,LR,TMF_187,FW_024,S_010,PFHxS,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""Note that small fish and invertebrates were prepared as pooled whole-body homogenates, while muscle tissues were processed for larger fish (>100 mm). Therefore, a correction factor was determined and used to convert PFAS muscle concentrations into whole-body (w-b) concentrations.""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,Censored responses,not provided,,10^slope,2.2,1.9,2.4,na,na,na,na,na,na,na,147,,,na,na,na,na,na,Data extracted from Table S17. SE calculated from CIs.
